rspo,ulica,numer_domu,numer_lokalu,id_kod_pocztowy,id_miejscowosc,id_wojewodztwo,id_powiat,id_gmina
3845,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
5912,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
19058,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
115330,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
19059,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
276424,ul. Komuny Paryskiej,6,,5529,422,2,201,201011
15396,ul. Dolne Młyny,60,,5529,422,2,201,201011
15397,ul. Górne Młyny,1,,5529,422,2,201,201011
19336,ul. Górne Młyny,1,,5529,422,2,201,201011
19335,ul. Górne Młyny,1,,5529,422,2,201,201011
15398,al. Aleja Tysiąclecia,51,,5529,422,2,201,201011
19604,al. Aleja Tysiąclecia,51,,5529,422,2,201,201011
19605,al. Aleja Tysiąclecia,51,,5529,422,2,201,201011
15399,ul. Bankowa,8,,5529,422,2,201,201011
19181,ul. Bankowa,8,,5529,422,2,201,201011
19184,ul. Bankowa,8,,5529,422,2,201,201011
19185,ul. Bankowa,8,,5529,422,2,201,201011
19182,ul. Bankowa,8,,5529,422,2,201,201011
15400,ul. Heleny i Wincentego Tyrankiewiczów,11,,5529,422,2,201,201011
19333,ul. Ogrodowa,7,,5529,422,2,201,201011
19601,ul. Heleny i Wincentego Tyrankiewiczów,11,,5529,422,2,201,201011
19334,ul. Heleny i Wincentego Tyrankiewiczów,11,,5529,422,2,201,201011
16580,ul. Zgorzelecka,27,,5529,422,2,201,201011
17054,ul. Marcina Opitza,11,,5529,422,2,201,201011
17080,ul. Marcina Opitza,11,,5529,422,2,201,201011
17137,ul. Marcina Opitza,11,,5529,422,2,201,201011
17174,ul. Marcina Opitza,11,,5529,422,2,201,201011
17219,ul. Marcina Opitza,11,,5529,422,2,201,201011
17550,ul. Heleny i Wincentego Tyrankiewiczów,2,,5529,422,2,201,201011
18924,ul. Heleny i Wincentego Tyrankiewiczów,2,,5529,422,2,201,201011
18926,ul. Heleny i Wincentego Tyrankiewiczów,2,,5529,422,2,201,201011
17864,ul. Heleny i Wincentego Tyrankiewiczów,11,,5529,422,2,201,201011
19603,ul. Heleny i Wincentego Tyrankiewiczów,11,,5529,422,2,201,201011
19974,ul. Bankowa,10,,5529,422,2,201,201011
21071,ul. Zgorzelecka,18,,5529,422,2,201,201011
22756,ul. Zgorzelecka,18,,5529,422,2,201,201011
22765,ul. Zgorzelecka,18,,5529,422,2,201,201011
24840,ul. Grunwaldzka,5,,5529,422,2,201,201011
31228,ul. Ignacego Łukasiewicza,8,41,5529,422,2,201,201011
31229,ul. Heleny i Wincentego Tyrankiewiczów,22,,5529,422,2,201,201011
31303,ul. Heleny i Wincentego Tyrankiewiczów,22,,5529,422,2,201,201011
34518,ul. Dolne Młyny,60,,5529,422,2,201,201011
34554,ul. Mikołaja Brody,12,,5529,422,2,201,201011
34556,ul. Ceramiczna,5,,5529,422,2,201,201011
34719,ul. Jana Pawła II,50d,,5529,422,2,201,201011
34720,ul. Mikołaja Brody,17,,5529,422,2,201,201011
34721,ul. Narcyzów,22,,5529,422,2,201,201011
34723,ul. Sądowa,9,,5529,422,2,201,201011
34724,ul. Zygmunta Augusta,16B,,5529,422,2,201,201011
34725,ul. Piotra i Pawła,2,,5529,422,2,201,201011
35042,ul. Grunwaldzka,9,,5529,422,2,201,201011
38801,ul. Juliusza Słowackiego,2,,5529,422,2,201,201011
38803,ul. Jana Pawła II,38c,,5529,422,2,201,201011
40746,ul. Górne Młyny,5,,5529,422,2,201,201011
71247,ul. Jana Pawła II,20a,,5529,422,2,201,201011
78001,ul. Gdańska,37a,,5529,422,2,201,201011
