RSPO,Numer telefonu,Adres email,Adres www
34719,756121301,mpp1.boleslawiec@op.pl,www.mp1boleslawiec.szkolnastrona.pl
34723,756121306,mpp4@boleslawiec.eu,www.mpp4boleslawiec.szkolnastrona.pl
34724,756121307,mppwboleslawcu@onet.eu,www.mpp5boleslawiec.szkolnastrona.pl
34725,756121300,mpp6.boleslawiec@interia.pl,http://mpp6boleslawiec.szkolnastrona.pl
71247,+48605343134,m.pietraho@wp.pl,www.przedszkoleboleslawiec.pl
71247,+48605343134,m.pietraho@wp.pl,www.przedszkoleboleslawiec.pl
111598,668864725,boleslawiec@pijarzy.pl,www.pijarzy.boleslawiec.pl
17864,757322419,lo@lo.boleslawiec.pl,https://www.lo.boleslawiec.pl/
262853,668864725,boleslawiec@pijarzy.pl,pijarzy.boleslawiec.pl
3845,757324009,zsoiz1@poczta.onet.pl,www.sucharski.boleslawianie.pl
15397,757323001,zsm_bc@pro.onet.pl,www.zsmbc.eu.org
15399,757322837,pzsips.bol@op.pl,pzsips.bol.szkolnastrona.pl
15399,757322837,pzsips.bol@op.pl,pzsips.bol.szkolnastrona.pl
23212,,kontakt@przedszkolelaziska.pl,www.przedszkolelaziska.pl
23212,,kontakt@przedszkolelaziska.pl,www.przedszkolelaziska.pl
123147,757321491,sekretariat@zspkruszyn.pl,www.szkolawkruszynie.edupage.org
131028,757301605,malgorzatacolokidzi@wp.pl,www.spbrzeznik.edupage.org
85029,757382035,dyrektorgp@gmail.com,www.gpgromadka.szkolnastrona.pl
29524,757389309,spszczytnica@o2.pl,
2935,600773290,sportoweprzedszkole@o2.pl,
2935,600773290,sportoweprzedszkole@o2.pl,
7679,746452225,pp2bielawa@poczta.onet.pl,
8115,746452208,sp4bielawa@wp.pl,https://sp4zoibielawa.pl/
267725,,annasalij@wp.pl,
49102,748334606,sekretariat@liceumbielawa.pl,www.liceumbielawa.pl
16096,07466461722,niepublicznaporadniabielawa@wp.pl,
7022,748334567,zs-bielawa@wp.pl,zs-bielawa.pl
89068,748333870,bielawa@sto.org.pl,spolecznabielawa.pl
64015,0748312420,pp2dzierzoniow@wp.pl,https://pp2dzierzoniow.szkolnastrona.pl/
64040,0748313235,pp1dzow@gmail.com,www.pp1dzierzoniow.szkolnastrona.pl
64259,748313402,savioprzedszkole@poczta.fm,
71014,748312912,slonecznapiatka@op.pl,www.slonecznapiatka.edupage.org
73079,748315730,przedszkoleniepubliczne4@wp.pl,www.przedszkoleniepubliczne4.edupage.org/
277875,,przedszkole@bliskaprzystan.pl,www.bliskaprzystan.pl
277928,,ksiegowosc.gonder@gmail.com,www.kraina-czarow.com
