id,kod
0,00-011
1,00-012
2,00-013
3,00-014
4,00-015
5,00-019
6,00-020
7,00-023
8,00-024
9,00-028
10,00-029
11,00-030
12,00-033
13,00-034
14,00-040
15,00-042
16,00-043
17,00-048
18,00-049
19,00-050
20,00-052
21,00-055
22,00-063
23,00-076
24,00-095
25,00-098
26,00-105
27,00-112
28,00-116
29,00-124
30,00-132
31,00-133
32,00-137
33,00-139
34,00-140
35,00-141
36,00-142
37,00-143
38,00-144
39,00-145
40,00-149
41,00-150
42,00-151
43,00-153
44,00-155
45,00-162
46,00-163
47,00-169
48,00-175
49,00-176
50,00-178
51,00-180
52,00-181
53,00-184
54,00-189
55,00-190
56,00-193
57,00-202
58,00-208
59,00-213
60,00-216
61,00-219
62,00-229
63,00-231
64,00-232
65,00-233
66,00-236
67,00-238
68,00-246
69,00-248
70,00-252
71,00-281
72,00-302
73,00-310
74,00-312
75,00-317
76,00-318
77,00-322
78,00-324
79,00-330
80,00-332
81,00-335
82,00-336
83,00-345
84,00-349
85,00-353
86,00-355
87,00-360
88,00-367
89,00-372
90,00-375
91,00-380
92,00-389
93,00-401
94,00-403
95,00-404
96,00-407
97,00-430
98,00-432
99,00-438
100,00-443
101,00-446
102,00-448
103,00-449
104,00-451
105,00-453
106,00-454
107,00-458
108,00-459
109,00-460
110,00-467
111,00-468
112,00-478
113,00-499
114,00-509
115,00-511
116,00-513
117,00-519
118,00-525
119,00-528
120,00-542
121,00-546
122,00-549
123,00-554
124,00-568
125,00-571
126,00-572
127,00-574
128,00-585
129,00-586
130,00-590
131,00-591
132,00-613
133,00-621
134,00-625
135,00-631
136,00-635
137,00-639
138,00-641
139,00-643
140,00-656
141,00-666
142,00-669
143,00-672
144,00-675
145,00-679
146,00-680
147,00-682
148,00-688
149,00-693
150,00-695
151,00-697
152,00-704
153,00-709
154,00-713
155,00-714
156,00-717
157,00-719
158,00-720
159,00-722
160,00-724
161,00-727
162,00-728
163,00-732
164,00-734
165,00-737
166,00-738
167,00-739
168,00-740
169,00-742
170,00-743
171,00-752
172,00-762
173,00-764
174,00-765
175,00-770
176,00-773
177,00-774
178,00-777
179,00-781
180,00-784
181,00-785
182,00-791
183,00-792
184,00-801
185,00-807
186,00-808
187,00-814
188,00-815
189,00-818
190,00-820
191,00-821
192,00-835
193,00-836
194,00-838
195,00-842
196,00-844
197,00-845
198,00-846
199,00-855
200,00-864
201,00-865
202,00-867
203,00-869
204,00-872
205,00-876
206,00-892
207,00-893
208,00-896
209,00-901
210,00-908
211,00-910
212,00-927
213,00-968
214,00-980
215,00-992
216,01-001
217,01-002
218,01-006
219,01-009
220,01-014
221,01-015
222,01-017
223,01-018
224,01-029
225,01-034
226,01-038
227,01-043
228,01-044
229,01-047
230,01-049
231,01-050
232,01-051
233,01-059
234,01-063
235,01-081
236,01-100
237,01-102
238,01-104
239,01-106
240,01-107
241,01-111
242,01-112
243,01-114
244,01-118
245,01-121
246,01-122
247,01-128
248,01-130
249,01-132
250,01-134
251,01-136
252,01-140
253,01-148
254,01-149
255,01-154
256,01-156
257,01-162
258,01-163
259,01-164
260,01-167
261,01-171
262,01-172
263,01-180
264,01-181
265,01-184
266,01-188
267,01-189
268,01-192
269,01-193
270,01-197
271,01-198
272,01-199
273,01-203
274,01-204
275,01-206
276,01-210
277,01-211
278,01-212
279,01-224
280,01-225
281,01-229
282,01-230
283,01-231
284,01-233
285,01-234
286,01-236
287,01-237
288,01-240
289,01-242
290,01-244
291,01-248
292,01-250
293,01-254
294,01-255
295,01-258
296,01-262
297,01-307
298,01-309
299,01-310
300,01-314
301,01-317
302,01-318
303,01-320
304,01-327
305,01-346
306,01-350
307,01-355
308,01-356
309,01-357
310,01-361
311,01-366
312,01-367
313,01-381
314,01-384
315,01-386
316,01-391
317,01-401
318,01-402
319,01-405
320,01-406
321,01-407
322,01-408
323,01-409
324,01-410
325,01-416
326,01-423
327,01-424
328,01-425
329,01-434
330,01-438
331,01-442
332,01-444
333,01-451
334,01-452
335,01-456
336,01-464
337,01-466
338,01-469
339,01-470
340,01-471
341,01-472
342,01-476
343,01-479
344,01-481
345,01-482
346,01-485
347,01-491
348,01-492
349,01-493
350,01-494
351,01-495
352,01-496
353,01-507
354,01-513
355,01-517
356,01-518
357,01-523
358,01-524
359,01-530
360,01-531
361,01-548
362,01-552
363,01-554
364,01-567
365,01-568
366,01-571
367,01-576
368,01-577
369,01-578
370,01-582
371,01-586
372,01-589
373,01-590
374,01-595
375,01-605
376,01-611
377,01-632
378,01-633
379,01-640
380,01-647
381,01-651
382,01-682
383,01-684
384,01-687
385,01-689
386,01-692
387,01-695
388,01-698
389,01-710
390,01-728
391,01-737
392,01-747
393,01-748
394,01-753
395,01-755
396,01-756
397,01-771
398,01-773
399,01-780
400,01-784
401,01-786
402,01-793
403,01-794
404,01-796
405,01-803
406,01-806
407,01-809
408,01-810
409,01-813
410,01-815
411,01-817
412,01-819
413,01-820
414,01-823
415,01-824
416,01-826
417,01-831
418,01-833
419,01-835
420,01-839
421,01-840
422,01-842
423,01-848
424,01-849
425,01-851
426,01-858
427,01-864
428,01-865
429,01-870
430,01-874
431,01-876
432,01-882
433,01-883
434,01-884
435,01-886
436,01-891
437,01-892
438,01-893
439,01-903
440,01-904
441,01-905
442,01-908
443,01-909
444,01-910
445,01-911
446,01-912
447,01-914
448,01-915
449,01-922
450,01-923
451,01-925
452,01-929
453,01-932
454,01-934
455,01-938
456,01-944
457,01-947
458,01-948
459,01-951
460,01-952
461,01-954
462,01-957
463,01-960
464,01-962
465,01-963
466,01-971
467,01-977
468,01-978
469,01-980
470,01-981
471,01-989
472,01-990
473,01-992
474,02-001
475,02-008
476,02-010
477,02-017
478,02-026
479,02-031
480,02-034
481,02-053
482,02-061
483,02-066
484,02-067
485,02-070
486,02-071
487,02-078
488,02-079
489,02-081
490,02-085
491,02-089
492,02-091
493,02-097
494,02-101
495,02-104
496,02-106
497,02-107
498,02-109
499,02-115
500,02-119
501,02-120
502,02-121
503,02-122
504,02-123
505,02-127
506,02-128
507,02-132
508,02-134
509,02-137
510,02-139
511,02-141
512,02-143
513,02-145
514,02-146
515,02-149
516,02-154
517,02-172
518,02-174
519,02-197
520,02-202
