rspo,id_organ_prowadzacy
3845,2473
5912,2473
19058,2473
115330,2473
19059,2473
276424,2473
15396,2473
15397,2473
19336,2473
19335,2473
15398,2473
19604,2473
19605,2473
15399,2473
19181,2473
19184,2473
19185,2473
19182,2473
15400,2473
19333,2473
19601,2473
19334,2473
16580,264521
17054,255935
17080,254905
17137,255935
17174,255935
17219,255935
17550,2473
18924,2473
18926,2473
17864,2473
19603,2473
19974,255935
21071,2473
22756,2473
22765,2473
24840,2473
31228,478951
31229,267838
31303,267838
34518,42
34554,42
34556,42
34719,42
34720,42
34721,42
34723,42
34724,42
34725,42
35042,2
38801,42
38803,42
40746,42
71247,249195
78001,249204
111598,261552
118903,246384
120665,254914
128901,254905
262787,260746
262853,261552
264891,255935
264892,255935
268291,268289
268916,268915
271923,267838
277149,277107
278788,278787
478956,478954
479387,479347
20961,43
20979,43
22215,43
22209,43
23212,204965
118523,43
118662,43
20645,43
123147,43
123408,43
20932,43
123148,43
123409,43
20889,43
131028,43
131095,43
20750,43
131029,43
131096,43
20936,43
131030,43
131097,43
20957,43
277311,277309
85023,2867
85029,2867
88722,2867
49586,44
60830,44
61297,44
74360,44
74366,44
74369,44
74371,271441
84302,44
71984,45
131356,45
123062,45
72000,45
72065,45
130318,270851
263198,45
123061,45
123256,45
16354,206821
29168,2473
262368,2473
29457,46
29458,46
29524,241199
30209,46
30210,46
75040,46
74900,46
74899,46
75053,46
2935,270529
4602,47
6291,261106
7022,2474
80805,2474
79061,2474
78966,2474
4755,2474
7133,261106
7679,270530
7700,270532
7708,270535
8115,47
8116,47
8117,47
10596,270534
16096,248425
104953,2474
49102,2474
68612,270533
89068,270533
112051,270533
119974,238188
262677,238188
6212,238188
273911,238188
125270,254490
130345,260483
262666,261106
262669,261106
267725,248425
267784,47
270427,270424
277574,277573
15262,202689
18768,2474
21814,2474
27496,2474
18833,2474
31424,2474
31550,2474
18858,2474
128204,2474
49571,2474
49568,2474
49570,2474
19542,2474
128207,2474
34806,2474
35311,2474
20482,2474
49565,2474
49567,2474
49585,2474
21327,273662
35043,2
49584,2474
64015,48
64040,48
64258,48
64259,246160
64260,48
71014,218728
71018,218730
73075,48
73077,48
73079,219641
109286,2474
120047,261106
123249,273662
125170,257529
130514,255373
131306,261267
133783,48
273054,481493
274681,263629
274983,48
277696,51
277875,277873
277928,277891
478772,478769
5576,256631
61547,49
68372,246160
77892,49
120403,251277
23237,50
23354,50
28886,2474
49587,2474
49590,2474
73094,51
73143,51
121790,51
121789,51
73313,51
121866,51
121868,51
110989,51
121951,51
121952,51
121950,51
128287,251718
267687,251718
72950,52
72951,52
72954,52
87454,53
111387,53
118579,237319
118705,237350
5156,2475
5536,2475
5553,2475
6376,2475
6458,2475
6426,2475
274738,2475
5585,2475
6695,2475
6941,2475
6727,2475
274735,2475
8532,2475
9882,2475
9912,2475
267026,2475
8557,2475
15091,2475
15090,2475
274736,2475
8565,2475
9843,2475
9827,2475
8683,2475
8863,2475
13368,2475
13384,2475
10427,2475
14581,2475
14005,2475
13724,2475
8947,2475
13616,2475
13642,2475
13649,2475
13417,2475
15662,202799
15698,241328
15803,210852
16283,210852
18040,264121
18853,2
104205,2
104206,2
22348,54
22349,54
22350,54
22351,54
22352,54
22353,54
22354,54
22355,54
39082,54
41639,54
42317,210119
42882,54
42884,54
43705,54
43782,54
43830,54
43921,54
43991,270008
44020,54
44269,54
44484,54
44540,54
47470,202799
48320,272419
49131,266098
49245,267243
49505,264118
51256,261156
51257,267174
54136,479744
55872,272419
55894,214108
55898,251788
55900,251788
55904,251788
57733,214617
59586,267181
73993,277621
105077,8
124982,8
266855,8
114204,235079
120552,267244
120968,239031
122793,240205
126355,271347
127340,272686
132361,258686
196276,54
196277,54
196278,54
196386,272686
263508,272419
263930,263928
264123,264118
267027,2475
6923,2475
267036,2475
267343,478905
267616,54
269719,260978
272620,272560
272948,268860
268875,268860
268872,268860
268873,268860
268865,268860
273369,273300
277401,277400
278097,278094
278634,279543
279112,238207
119995,238207
16015,238207
479090,238207
8920,55
10013,55
271956,55
10011,55
8918,55
5478,56
5488,56
5525,56
274672,56
125425,256909
130997,57
69361,57
68639,57
86168,58
13153,59
13777,59
120589,264944
120590,264944
264947,264944
34245,2476
104077,2476
93000,2476
104076,2476
34641,2476
40701,2476
72871,2476
73490,2476
72868,2476
275662,2476
72870,2476
55941,60
55942,60
55988,60
111159,60
111153,60
56377,60
56378,60
56424,60
55401,60
111128,60
111109,60
58991,2476
82733,2476
82814,2476
82483,60
111018,60
111028,60
120366,273364
23547,61
23548,61
113824,61
113825,61
8158,62
22688,62
22675,62
34984,62
48981,62
44681,62
27236,63
30189,63
30190,63
60209,2476
275579,2476
103534,2476
104123,2476
104111,2476
113990,63
114000,63
272098,63
29117,63
271724,63
479163,63
479165,63
11670,2477
22314,2477
22313,2477
22315,2477
11674,2477
19449,2477
19447,2477
13204,2477
132343,2477
21707,2477
21706,2477
21711,2477
21710,2477
23848,2477
57091,2851
60186,2851
267918,2851
59822,2851
68700,2851
267917,2851
62448,64
62449,64
62450,64
62453,64
62454,64
62455,64
85586,266014
133974,265575
262465,64
271131,253519
11673,2477
22825,2477
22827,2477
128826,2477
22826,2477
12565,276658
20470,65
20471,65
20472,65
20473,65
20475,65
47062,245537
52772,66
127863,66
90290,66
127573,66
127617,66
19089,66
91785,67
269047,67
269045,67
91786,67
31475,68
478225,68
277919,68
16254,68
478345,68
31465,68
263271,68
16134,69
16236,69
262339,69
58157,2851
68318,2851
68319,2851
272767,2851
68320,2851
68549,242076
68561,70
68562,70
74100,242076
81110,270791
127556,250102
132532,259158
32061,2478
84372,71
84373,71
84374,71
84915,253590
132727,71
73067,71
263259,71
31788,2478
73059,2478
73061,2478
73060,2478
47108,72
47733,72
47734,72
106719,254674
123622,254674
123679,254669
132605,259494
272037,72
31789,2478
79292,73
49836,2478
77616,2478
80861,2478
73028,2478
73029,2478
82340,73
82341,73
123782,254674
126354,246429
89094,74
89139,74
121872,75
121903,75
267938,75
267937,75
122029,75
80704,254675
88999,76
106095,76
110381,76
110382,76
123813,254672
31912,2478
73062,2478
73064,2478
83389,77
83607,77
83655,77
84544,77
122238,77
122237,77
86646,78
86647,78
86648,78
86650,78
270868,78
263974,78
270648,78
15152,2479
19680,2479
19678,2479
15211,2479
132175,2479
19773,2479
19775,2479
15228,2479
22481,2479
22479,2479
15749,268005
16336,2479
23515,2479
108860,79
108866,79
113568,79
113570,79
114773,278978
115273,79
115575,256370
119093,275658
119094,275658
276960,276761
279183,278615
40965,80
131141,80
55549,80
57235,80
60744,80
64750,80
72429,80
480786,480784
16858,267998
75170,81
107733,81
107727,81
85221,81
108809,81
108800,81
86517,81
55165,82
61784,82
61783,82
10560,83
20075,83
20077,83
11107,83
11485,2480
275930,2480
105505,273607
11421,2480
92216,2480
92218,2480
83789,2480
11595,2480
80452,2480
118879,2480
79315,2480
275552,2480
89882,2480
20364,84
20858,84
21720,244127
39883,244127
93135,244127
21816,204605
22006,270715
22593,481390
22593, 481391
22907,84
26087,84
35044,2
42343,270634
49557,84
49704,84
79941,2480
90208,2480
131219,2480
86777,2480
92153,2480
92154,2480
92157,2480
92151,2480
90020,2480
105874,2480
91250,2480
92547,204807
103857,204807
92768,272293
92895,479854
92932,254854
92971,254854
93002,272419
93062,272419
103854,242454
103856,273608
104598,270634
105482,258107
105555,273611
105559,267079
105746,273613
125342,254588
126024,245847
127952,258107
129203,252310
131442,84
131443,84
196316,84
262674,89
266494,266449
268910,196330
271133,271132
272327,272324
276823,276822
278597,278467
48001,85
48002,85
122998,85
91926,85
91927,85
91928,85
48005,262098
49065,262100
48716,262100
48705,262100
121429,2851
126040,245848
126040, 245849
131292,85
132976,260245
267741,2851
60069,2851
267949,2851
275905,2480
79949,86
263371,86
79952,86
79954,86
79955,86
79958,246160
86812,2480
92215,2480
92214,2480
86837,2480
277975,2480
