id,nazwa
1,Przedszkole
3,Szkoła podstawowa
4,Gimnazjum
14,Liceum ogólnokształcące
16,Technikum
19,Szkoła policealna
20,Szkoła specjalna przysposabiająca do pracy
21,Ogólnokształcąca szkoła muzyczna I stopnia
24,Ogólnokształcąca szkoła muzyczna II stopnia
26,Ogólnokształcąca szkoła sztuk pięknych
27,Liceum sztuk plastycznych
29,Ogólnokształcąca szkoła baletowa
31,Szkoła sztuki cyrkowej
37,Pałac młodzieży
38,Młodzieżowy dom kultury
39,Ognisko pracy pozaszkolnej
40,Międzyszkolny ośrodek sportowy
41,Ogród jordanowski
42,Pozaszkolna placówka specjalistyczna
43,Szkolne schronisko młodzieżowe
44,Placówki artystyczne (ognisko artystyczne)
46,Placówka Kształcenia Ustawicznego ze szkołami
48,Poradnia psychologiczno-pedagogiczna
49,Poradnia specjalistyczna
50,Specjalny Ośrodek Wychowawczy
51,Specjalny Ośrodek Szkolno-Wychowawczy
52,Ośrodek Rewalidacyjno-Wychowawczy
53,Młodzieżowy Ośrodek Wychowawczy
54,Młodzieżowy Ośrodek Socjoterapii ze szkołami
55,Bursa
56,Dom wczasów dziecięcych
57,Placówka doskonalenia nauczycieli
58,Biblioteki pedagogiczne
60,Zakład poprawczy
61,Schronisko dla nieletnich
63,Okręgowy ośrodek wychowawczy
64,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty
65,Kolegium Pracowników Służb Społecznych
74,Placówka Kształcenia Ustawicznego - bez szkół
75,Niepubliczna placówka kształcenia ustawicznego i praktycznego
80,Zespół wychowania przedszkolnego
81,Punkt przedszkolny
82,Poznańska szkoła chóralna
85,Szkoła muzyczna I stopnia
86,Szkoła muzyczna II stopnia
87,Szkoła sztuki tańca
88,Zakład poprawczy i Schronisko dla nieletnich
89,Inna szkoła artystyczna
90,Bednarska Szkoła Realna
91,Policealna szkoła muzyczna
92,Policealna szkoła plastyczna
93,Branżowa szkoła I stopnia
94,Branżowa szkoła II stopnia
96,Centrum Kształcenia Zawodowego
100,Zespół szkół i placówek oświatowych
