id,nazwa
0,Abramów
1,Adamów
2,Adamowice
3,Adamowizna
4,Adamówka
5,Adamowo
6,Adelin
7,Albigowa
8,Aleksandria
9,Aleksandria Pierwsza
10,Aleksandrów
11,Aleksandrów Kujawski
12,Aleksandrów Łódzki
13,Alfredówka
14,Alojzów
15,Alwernia
16,Amelin
17,Ameryka
18,Andrespol
19,Andrychów
20,Andryjanki
21,Andrzejewo
22,Andrzejów
23,Andrzejówka
24,Anielew
25,Anieliny
26,Anielów
27,Annobór
28,Annopol
29,Annopole Stare
30,Antolka
31,Antonie
32,Antoniewo
33,Antoniów
34,Antoniówka
35,Arcelin
36,Augustów
37,Augustówka
38,Augustowo
39,Azory
40,Babiak
41,Babica
42,Babice
43,Babice Nowe
44,Babiczki
45,Babięty Wielkie
46,Babiki
47,Babimost
48,Babin
49,Babki Oleckie
50,Baborów
51,Baborowo
52,Baboszewo
53,Babsk
54,Baby
55,Bachórz
56,Bachórzec
57,Bachorzew
58,Bachów
59,Bachowice
60,Baciki Średnie
61,Baćkowice
62,Bącza-Kunina
63,Bączal Dolny
64,Baczków
65,Baczyn
66,Baczyna
67,Bądki
68,Bądków
69,Bądkowo
70,Bągart
71,Bagatelka
72,Bagny
73,Bajdy
74,Bakałarzewo
75,Bąków
76,Bąków Górny
77,Bąkowa
78,Bąkowa Góra
79,Bąkowice
80,Bąkowo
81,Bałdrzychów
82,Balice
83,Baligród
84,Balin
85,Bałtów
86,Banica
87,Banie
88,Banie Mazurskie
89,Banino
90,Baniocha
91,Bańska Niżna
92,Bańska Wyżna
93,Baranów
94,Baranów Sandomierski
95,Baranowo
96,Barciany
97,Barcice
98,Barcikowo
99,Barcin
100,Barcinek
101,Barcino
102,Barczew
103,Barczewko
104,Barczewo
105,Barczygłów
106,Bardo
107,Bardzice
108,Bargłów Kościelny
109,Bargłówka
110,Barkowo
111,Barlewiczki
112,Barlinek
113,Barłogi
114,Barłomino
115,Barłożno
116,Barnówko
117,Barszczewo
118,Bartąg
119,Bartniki
120,Bartodzieje
121,Bartoszów
122,Bartoszyce
123,Barty
124,Baruchowo
125,Barwałd Dolny
126,Barwałd Górny
127,Barwałd Średni
128,Barwice
129,Barycz
130,Barycz-Kolonia
131,Baryczka
132,Baszków
133,Baszkówka
134,Basznia Dolna
135,Batorz Pierwszy
136,Batycze
137,Bażanowice
138,Bażanówka
139,Bażyny
140,Bebelno-Wieś
141,Bębło
