id,nazwa
201,bolesławiecki
202,dzierżoniowski
203,głogowski
204,górowski
205,jaworski
206,karkonoski
207,kamiennogórski
208,kłodzki
209,legnicki
210,lubański
211,lubiński
212,lwówecki
213,milicki
214,oleśnicki
215,oławski
216,polkowicki
217,strzeliński
218,średzki
219,świdnicki
220,trzebnicki
221,wałbrzyski
222,wołowski
223,wrocławski
224,ząbkowicki
225,zgorzelecki
226,złotoryjski
261,m. Jelenia Góra
262,m. Legnica
264,m. Wrocław
265,m. Wałbrzych
401,aleksandrowski
402,brodnicki
403,bydgoski
404,chełmiński
405,golubsko-dobrzyński
406,grudziądzki
407,inowrocławski
408,lipnowski
409,mogileński
410,nakielski
411,radziejowski
412,rypiński
413,sępoleński
414,świecki
415,toruński
416,tucholski
417,wąbrzeski
418,włocławski
419,żniński
461,m. Bydgoszcz
462,m. Grudziądz
463,m. Toruń
464,m. Włocławek
601,bialski
602,biłgorajski
603,chełmski
604,hrubieszowski
605,janowski
606,krasnostawski
607,kraśnicki
608,lubartowski
609,lubelski
610,łęczyński
611,łukowski
612,opolski
613,parczewski
614,puławski
615,radzyński
616,rycki
617,świdnicki
618,tomaszowski
619,włodawski
620,zamojski
661,m. Biała Podlaska
662,m. Chełm
663,m. Lublin
664,m. Zamość
801,gorzowski
802,krośnieński
803,międzyrzecki
804,nowosolski
805,słubicki
806,strzelecko-drezdenecki
807,sulęciński
808,świebodziński
809,zielonogórski
810,żagański
811,żarski
812,wschowski
861,m. Gorzów Wielkopolski
862,m. Zielona Góra
1001,bełchatowski
1002,kutnowski
1003,łaski
1004,łęczycki
1005,łowicki
1006,łódzki wschodni
1007,opoczyński
1008,pabianicki
1009,pajęczański
1010,piotrkowski
1011,poddębicki
1012,radomszczański
1013,rawski
1014,sieradzki
1015,skierniewicki
1016,tomaszowski
1017,wieluński
1018,wieruszowski
1019,zduńskowolski
1020,zgierski
1021,brzeziński
1061,m. Łódź
1062,m. Piotrków Trybunalski
1063,m. Skierniewice
1201,bocheński
1202,brzeski
1203,chrzanowski
1204,dąbrowski
1205,gorlicki
1206,krakowski
1207,limanowski
1208,miechowski
1209,myślenicki
1210,nowosądecki
1211,nowotarski
1212,olkuski
1213,oświęcimski
1214,proszowicki
1215,suski
1216,tarnowski
1217,tatrzański
1218,wadowicki
1219,wielicki
1261,m. Kraków
1262,m. Nowy Sącz
1263,m. Tarnów
1401,białobrzeski
1402,ciechanowski
1403,garwoliński
1404,gostyniński
1405,grodziski
1406,grójecki
1407,kozienicki
1408,legionowski
1409,lipski
1410,łosicki
1411,makowski
1412,miński
1413,mławski
1414,nowodworski
1415,ostrołęcki
1416,ostrowski
1417,otwocki
1418,piaseczyński
1419,płocki
1420,płoński
1421,pruszkowski
1422,przasnyski
1423,przysuski
1424,pułtuski
1425,radomski
1426,siedlecki
1427,sierpecki
1428,sochaczewski
1429,sokołowski
1430,szydłowiecki
1432,warszawski zachodni
1433,węgrowski
1434,wołomiński
1435,wyszkowski
1436,zwoleński
1437,żuromiński
1438,żyrardowski
1461,m. Ostrołęka
1462,m. Płock
1463,m. Radom
1464,m. Siedlce
1465,m. st. Warszawa
1601,brzeski
1602,głubczycki
1603,kędzierzyńsko-kozielski
1604,kluczborski
1605,krapkowicki
1606,namysłowski
1607,nyski
1608,oleski
1609,opolski
1610,prudnicki
1611,strzelecki
1661,m. Opole
1801,bieszczadzki
1802,brzozowski
1803,dębicki
1804,jarosławski
1805,jasielski
1806,kolbuszowski
1807,krośnieński
1808,leżajski
1809,lubaczowski
1810,łańcucki
1811,mielecki
1812,niżański
1813,przemyski
1814,przeworski
1815,ropczycko-sędziszowski
1816,rzeszowski
1817,sanocki
1818,stalowowolski
1819,strzyżowski
1820,tarnobrzeski
1821,leski
1861,m. Krosno
1862,m. Przemyśl
1863,m. Rzeszów
1864,m. Tarnobrzeg
2001,augustowski
2002,białostocki
2003,bielski
2004,grajewski
2005,hajnowski
2006,kolneński
2007,łomżyński
2008,moniecki
2009,sejneński
2010,siemiatycki
2011,sokólski
2012,suwalski
2013,wysokomazowiecki
2014,zambrowski
2061,m. Białystok
2062,m. Łomża
2063,m. Suwałki
2201,bytowski
2202,chojnicki
2203,człuchowski
2204,gdański
2205,kartuski
2206,kościerski
2207,kwidzyński
2208,lęborski
2209,malborski
2210,nowodworski
2211,pucki
2212,słupski
2213,starogardzki
2214,tczewski
2215,wejherowski
2216,sztumski
2261,m. Gdańsk
2262,m. Gdynia
2263,m. Słupsk
2264,m. Sopot
2401,będziński
2402,bielski
2403,cieszyński
2404,częstochowski
2405,gliwicki
2406,kłobucki
2407,lubliniecki
2408,mikołowski
2409,myszkowski
2410,pszczyński
2411,raciborski
2412,rybnicki
2413,tarnogórski
2414,bieruńsko-lędziński
2415,wodzisławski
2416,zawierciański
2417,żywiecki
2461,m. Bielsko-Biała
2462,m. Bytom
2463,m. Chorzów
2464,m. Częstochowa
2465,m. Dąbrowa Górnicza
2466,m. Gliwice
2467,m. Jastrzębie-Zdrój
2468,m. Jaworzno
2469,m. Katowice
2470,m. Mysłowice
2471,m. Piekary Śląskie
2472,m. Ruda Śląska
2473,m. Rybnik
2474,m. Siemianowice Śląskie
2475,m. Sosnowiec
2476,m. Świętochłowice
2477,m. Tychy
2478,m. Zabrze
2479,m. Żory
2601,buski
2602,jędrzejowski
2603,kazimierski
2604,kielecki
2605,konecki
2606,opatowski
2607,ostrowiecki
2608,pińczowski
2609,sandomierski
2610,skarżyski
2611,starachowicki
2612,staszowski
2613,włoszczowski
2661,m. Kielce
2801,bartoszycki
2802,braniewski
2803,działdowski
2804,elbląski
2805,ełcki
2806,giżycki
2807,iławski
2808,kętrzyński
2809,lidzbarski
2810,mrągowski
2811,nidzicki
2812,nowomiejski
2813,olecki
2814,olsztyński
2815,ostródzki
2816,piski
2817,szczycieński
2818,gołdapski
2819,węgorzewski
2861,m. Elbląg
2862,m. Olsztyn
3001,chodzieski
3002,czarnkowsko-trzcianecki
3003,gnieźnieński
3004,gostyński
3005,grodziski
3006,jarociński
3007,kaliski
3008,kępiński
3009,kolski
3010,koniński
3011,kościański
3012,krotoszyński
3013,leszczyński
3014,międzychodzki
3015,nowotomyski
3016,obornicki
3017,ostrowski
3018,ostrzeszowski
3019,pilski
3020,pleszewski
3021,poznański
3022,rawicki
3023,słupecki
3024,szamotulski
3025,średzki
3026,śremski
3027,turecki
3028,wągrowiecki
3029,wolsztyński
3030,wrzesiński
3031,złotowski
3061,m. Kalisz
3062,m. Konin
3063,m. Leszno
3064,m. Poznań
3201,białogardzki
3202,choszczeński
3203,drawski
3204,goleniowski
3205,gryficki
3206,gryfiński
3207,kamieński
3208,kołobrzeski
3209,koszaliński
3210,myśliborski
3211,policki
3212,pyrzycki
3213,sławieński
3214,stargardzki
3215,szczecinecki
3216,świdwiński
3217,wałecki
3218,łobeski
3261,m. Koszalin
3262,m. Szczecin
3263,m. Świnoujście
