id,nazwa
201011,Bolesławiec
201022,Bolesławiec
201032,Gromadka
201043,Nowogrodziec
201052,Osiecznica
201062,Warta Bolesławiecka
202011,Bielawa
202021,Dzierżoniów
202033,Pieszyce
202041,Piława Górna
202052,Dzierżoniów
202062,Łagiewniki
202073,Niemcza
203011,Głogów
203022,Głogów
203032,Jerzmanowa
203042,Kotla
203052,Pęcław
203062,Żukowice
204013,Góra
204022,Jemielno
204032,Niechlów
204043,Wąsosz
205011,Jawor
205023,Bolków
205032,Męcinka
205042,Mściwojów
205052,Paszowice
205062,Wądroże Wielkie
206011,Karpacz
206021,Kowary
206031,Piechowice
206041,Szklarska Poręba
206052,Janowice Wielkie
206062,Jeżów Sudecki
206072,Mysłakowice
206082,Podgórzyn
206092,Stara Kamienica
207011,Kamienna Góra
207022,Kamienna Góra
207033,Lubawka
207042,Marciszów
208011,Duszniki-Zdrój
208021,Kłodzko
208031,Kudowa-Zdrój
208041,Nowa Ruda
208051,Polanica-Zdrój
208063,Bystrzyca Kłodzka
208072,Kłodzko
208083,Lądek-Zdrój
208092,Lewin Kłodzki
208103,Międzylesie
208112,Nowa Ruda
208123,Radków
208133,Stronie Śląskie
208143,Szczytna
209011,Chojnów
209022,Chojnów
209032,Krotoszyce
209042,Kunice
209052,Legnickie Pole
209062,Miłkowice
209073,Prochowice
209082,Ruja
210011,Lubań
210021,Świeradów-Zdrój
210033,Leśna
210042,Lubań
210053,Olszyna
210062,Platerówka
210072,Siekierczyn
211011,Lubin
211022,Lubin
211032,Rudna
211043,Ścinawa
212013,Gryfów Śląski
212023,Lubomierz
212033,Lwówek Śląski
212043,Mirsk
212053,Wleń
213012,Cieszków
213022,Krośnice
213033,Milicz
214011,Oleśnica
214023,Bierutów
214032,Dobroszyce
214042,Dziadowa Kłoda
214053,Międzybórz
214062,Oleśnica
214073,Syców
214083,Twardogóra
215011,Oława
215022,Domaniów
215033,Jelcz-Laskowice
215042,Oława
216013,Chocianów
216022,Gaworzyce
216032,Grębocice
216043,Polkowice
216053,Przemków
216062,Radwanice
217012,Borów
217022,Kondratowice
217032,Przeworno
217043,Strzelin
217053,Wiązów
218012,Kostomłoty
218022,Malczyce
218033,Miękinia
218043,Środa Śląska
218052,Udanin
219011,Świdnica
219021,Świebodzice
219032,Dobromierz
219043,Jaworzyna Śląska
219052,Marcinowice
219063,Strzegom
219072,Świdnica
219083,Żarów
220013,Oborniki Śląskie
220023,Prusice
220033,Trzebnica
220042,Wisznia Mała
220052,Zawonia
220063,Żmigród
221011,Boguszów-Gorce
221021,Jedlina-Zdrój
221031,Szczawno-Zdrój
221042,Czarny Bór
221053,Głuszyca
221063,Mieroszów
221072,Stare Bogaczowice
221082,Walim
222013,Brzeg Dolny
222022,Wińsko
222033,Wołów
223012,Czernica
223022,Długołęka
223032,Jordanów Śląski
223043,Kąty Wrocławskie
223052,Kobierzyce
223062,Mietków
223073,Sobótka
223083,Siechnice
223092,Żórawina
224013,Bardo
224022,Ciepłowody
