id,nazwa
132,Powiat ziemski
140,Organizacje Wyznaniowe
146,Osoba fizyczna
143,Spółki Handlowe
144,Fundacje
130,Gmina
121,Minister ds. kultury i dziedzictwa narodowego
141,Przedsiębiorstwa Osób Fizycznych
135,Stowarzyszenia
150,Osoba Fizyczna - Pracodawca
125,Minister ds. sprawiedliwości
133,Samorząd województwa
134,Przedsiębiorstwo Państwowe
127,Minister ds. rolnictwa i rozwoju wsi
128,Minister ds. środowiska
138,Samorząd Gospodarczy i Zawodowy
131,Miasto na prawach powiatu
145,Uczelnia Publiczna
142,Uczelnia Niepubliczna
129,Minister ds. gospodarki morskiej i żeglugi śródlądowej
109,Izba rzemieślnicza
136,Organizacje Społeczne inne niż wymienione
137,Spółdzielnia
139,Organizacje Związkowe
123,Minister ds. obrony
148,Samorządowa osoba prawna
122,Minister ds. wewnętrznych i administracji
120,Minister ds. oświaty i wychowania
